,support,itemsets
0,0.050087702202299744,frozenset({'black acrylic maxi'})
1,0.33268368739037224,frozenset({'black bengaline culottes'})
2,0.04852855193919314,frozenset({'black cloth long coat'})
3,0.041707269538101735,frozenset({'black cloth medium coat'})
4,0.3096862210095498,frozenset({'black cotton culottes'})
5,0.22354316897290977,frozenset({'black cotton printed shirt'})
6,0.09315922822061977,frozenset({'black crepe long coat'})
7,0.04911323328785812,frozenset({'black crepe trapeze dress'})
8,0.09179497174040148,frozenset({'black devore solid color top'})
9,0.12824010914051842,frozenset({'black embossed culottes'})
10,0.1153771194698889,frozenset({'black embossed doll dress'})
11,0.0625609043071526,frozenset({'black embossed jumpsuit'})
12,0.06957708049113233,frozenset({'black embossed long dress'})
13,0.11479243812122393,frozenset({'black embossed short sleeves'})
14,0.27265640226076787,frozenset({'black faux leather long sleeve'})
15,0.12940947183784837,frozenset({'black faux leather short coat'})
16,0.07873708828688365,frozenset({'black foam rubber long coat'})
17,0.053011108945624635,frozenset({'black frise kimono dress'})
18,0.10446306762814266,frozenset({'black georgette culottes'})
19,0.34885987137010327,frozenset({'black georgette doll dress'})
20,0.08711752095108166,frozenset({'black georgette drop sleeve'})
21,0.06470473591892419,frozenset({'black georgette gitana skirt'})
22,0.06236601052426428,frozenset({'black georgette jumpsuit'})
23,0.2058078347300721,frozenset({'black georgette long dress'})
24,0.33034496199571234,frozenset({'black georgette long sleeve'})
25,0.2500487234457221,frozenset({'black georgette short sleeves'})
26,0.2034691093354122,frozenset({'black georgette sleeveless'})
27,0.10037029818748781,frozenset({'black lace sleeveless'})
28,0.09432859091794972,frozenset({'black lurex solid color top'})
29,0.22549210680179302,frozenset({'black matte jersey solid color top'})
30,0.27148703956343795,frozenset({'black milano stitch culottes'})
31,0.4505944260378094,frozenset({'black nice long sleeve'})
32,0.08828688364841161,frozenset({'black nice medium cardigan'})
33,0.22880530111089456,frozenset({'black nice short cardigan'})
34,0.06158643539271097,frozenset({'black nice short sleeves'})
35,0.11654648216721887,frozenset({'black polyviscous culottes'})
36,0.09842136035860456,frozenset({'black satin cotton culottes'})
37,0.331319430910154,frozenset({'black scuba crepe culottes'})
38,0.1319430910153966,frozenset({'black scuba crepe doll dress'})
39,0.08848177743129994,frozenset({'black scuba crepe drop sleeve'})
40,0.09920093549015786,frozenset({'black scuba crepe long sleeve'})
41,0.05320600272851296,frozenset({'black silky satin culottes'})
42,0.08399922042486845,frozenset({'black silky satin long dress'})
43,0.06431494835314754,frozenset({'black silky satin sleeveless'})
44,0.4108360943285909,frozenset({'black technical culottes'})
45,0.07055154940557397,frozenset({'black tulle doll dress'})
46,0.09004092769440655,frozenset({'black tulle long dress'})
47,0.09881114792438121,frozenset({'black tulle patterned top'})
48,0.08906645877996491,frozenset({'black viscose twill culottes'})
49,0.05067238355096473,frozenset({'blue chambree culottes'})
50,0.3011108945624635,frozenset({'blue dark jeans culottes'})
51,0.12765542779185343,frozenset({'blue heavy jeans culottes'})
52,0.2494640420970571,frozenset({'blue light jeans culottes'})
53,0.10563243032547262,frozenset({'brown acrylic kimono dress'})
54,0.09004092769440655,frozenset({'brown cotton culottes'})
55,0.06918729292535568,frozenset({'brown embossed drop sleeve'})
56,0.12083414539076204,frozenset({'brown frise kimono dress'})
57,0.11128435002923406,frozenset({'brown georgette long sleeve'})
58,0.06587409861625414,frozenset({'brown matte jersey doll dress'})
59,0.12629117131163517,frozenset({'brown nice long sleeve'})
60,0.17891249269148315,frozenset({'green bengaline culottes'})
61,0.0799064509842136,frozenset({'green bengaline drop sleeve'})
62,0.12063925160787371,frozenset({'green cotton culottes'})
63,0.07522900019489379,frozenset({'green georgette doll dress'})
64,0.07055154940557397,frozenset({'green viscose twill culottes'})
65,0.11362307542389398,frozenset({'grey acrylic kimono dress'})
66,0.05963749756382771,frozenset({'grey acrylic long sleeve'})
67,0.06509452348470084,frozenset({'grey acrylic maxi'})
68,0.07717793802377704,frozenset({'grey cotton culottes'})
69,0.07094133697135062,frozenset({'grey frise kimono dress'})
70,0.07191580588579224,frozenset({'grey georgette doll dress'})
71,0.06840771779380238,frozenset({'grey lurex solid color top'})
72,0.09666731631260962,frozenset({'grey matte jersey printed shirt'})
73,0.15494055739621906,frozenset({'grey nice long sleeve'})
74,0.07328006236601052,frozenset({'grey polyviscous culottes'})
75,0.0459949327616449,frozenset({'grey polyviscous trapeze dress'})
76,0.06996686805690898,frozenset({'grey scuba crepe culottes'})
77,0.036445137400116935,frozenset({'red georgette long dress'})
78,0.08594815825375171,frozenset({'red georgette sleeveless'})
79,0.11401286298967063,frozenset({'violet bengaline culottes'})
80,0.07932176963554863,frozenset({'violet frise kimono dress'})
81,0.12297797700253361,frozenset({'violet georgette doll dress'})
82,0.11147924381212239,frozenset({'violet georgette long sleeve'})
83,0.22295848762424478,frozenset({'violet georgette short sleeves'})
84,0.13662054180471642,frozenset({'violet georgette sleeveless'})
85,0.11401286298967063,frozenset({'violet lurex solid color top'})
86,0.11167413759501071,frozenset({'violet nice long sleeve'})
87,0.04463067628142662,frozenset({'violet silky satin long dress'})
88,0.058273241083609435,frozenset({'violet silky satin sleeveless'})
89,0.1167413759501072,frozenset({'white cotton printed shirt'})
