,customer,aritzia
18,20,Society Sweater
19,20,TnaCHILL™ Atmosphere Hi-Rise Legging
20,20,Divinity Jumpsuit
21,20,Divinity Jumpsuit
22,20,Ronnie Sweater
23,20,Refined Cargo Pant
24,20,Sprinkles Cardigan
25,20,Justin Jacket
26,20,Divinity Jumpsuit
27,20,Alchemy Dress
28,20,Divinity Jumpsuit
29,20,Society Sweater
30,20,Justin Jacket
96,68,Chase Dress
97,68,Divinity Jumpsuit
98,68,Cozy Fleece Boyfriend Hoodie
99,68,Sno Polar ¼ Zip Hip Sweater
100,68,Greenwich Pant
101,68,Only Slip Midi Dress
102,68,Only Slip Midi Dress
103,68,TnaCHILL™ Atmosphere Hi-Rise Legging
104,68,TnaCHILL™ Atmosphere Hi-Rise Legging
105,68,Moonstruck Dress
106,68,Moonstruck Dress
107,68,The Powder Parka™ Long
125,89,Society Sweater
126,89,Divinity Jumpsuit
127,89,Divinity Jumpsuit
128,89,Daughter Dress
129,89,Cyprie Sweater
130,89,Cody Massive Polar Vest
131,89,Supply Cargo Pant
132,89,Chase Dress
133,89,TnaCHILL™ Atmosphere Hi-Rise Legging
134,89,Hush Knit V-Neck Sweater
135,89,The Effortless Pant
136,89,Hush Knit V-Neck Sweater
137,89,TnaCHILL™ Atmosphere Hi-Rise Legging
138,89,Divinity Jumpsuit
139,89,Greenwich Pant
140,89,Supply Cargo Pant
141,89,The Effortless Pant
142,89,TnaCHILL™ Atmosphere Hi-Rise Legging
143,89,TnaCHILL™ Atmosphere Hi-Rise Legging
144,89,Avery Overall
240,187,Society Sweater
241,187,The Super Puff™
242,187,Cozy Fleece Boyfriend Hoodie
243,187,Sno Polar ¼ Zip Hip Sweater
244,187,Ellipsis Luxe Cashmere Tank
245,187,Society Sweater
246,187,Izzy Cardigan
247,187,Jimmy Pant
248,187,The Powder Parka™
249,187,The Super Puff™ Long
250,187,Runaway Blouse
260,198,The Ganna™ Shirt Jacket
261,198,The Slouch
262,198,The Super Puff™
263,198,The Powder Parka™
264,198,The Super Puff™
265,198,Runaway Blouse
266,198,Izzy Cardigan
267,198,Pleated Pant
268,198,Harper Sweater
269,198,Cozy Fleece Perfect Zip Hoodie
270,198,The Ganna™ Long Shirt Jacket
271,200,Divinity Jumpsuit
272,200,Delilah Mini Dress
273,200,TnaCHILL™ Atmosphere Hi-Rise Legging
274,200,The New Stedman Coat
275,200,Divinity Jumpsuit
276,200,Divinity Jumpsuit
277,200,Ronnie Sweater
278,200,Cozy Fleece Perfect Zip Hoodie
279,200,Divinity Jumpsuit
280,200,The Melina™ Pant
